Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
16:36:09:57.443,61,0,0,0.65435189,0,0.293853611,0.319117308,0.596460521,0,0,0,0.550508618,0.301004797,0.319060653,0.596731365,0.063917913,0,0.021239743,0.092485435,0.121701688,0.135747865,0.09390302,0.025328709,0,0.170184538,0.162751466,0,0,0.04624505,0.043068834,0.209845066,0.207432091,0.154799521,0.045200661,0.117608354,0.073841438,0.03309156,0.035634399,0.24003163,0.222872108,0.037761722,0.035404708,0,0,0.542322457,0.298966944,0.299823493,0.017738996,0.186024979,0.178526878,0.10667257,0.096704483,5.22E-08,0,0,0,0.333277524,-0.139034033,-0.045747291,0.396255553,-0.13905476,-0.053966694
16:36:09:58.445,61,0,0,0.653133273,0,0.293446243,0.319192112,0.597062945,0,0,0,0.549266577,0.30057314,0.319135577,0.597331524,0.063542813,0,0.021295847,0.091995783,0.121161655,0.135689065,0.093320116,0.024983451,0,0.16762735,0.161402166,0,0,0.046119258,0.042963885,0.209657773,0.207361579,0.15437378,0.044945203,0.117466673,0.073828846,0.032828674,0.035345737,0.239387259,0.222273439,0.037821181,0.035522439,0,0,0.539155543,0.296524376,0.297391027,0.017539913,0.18467474,0.177212596,0.106388912,0.0964467,0.000000037,0,0,0,0.33253476,-0.138798624,-0.045571074,0.39552781,-0.138819307,-0.053780768
16:36:09:59.447,61,0,0,0.651648343,0,0.297175795,0.31969583,0.597616315,0,0,0,0.547940135,0.304361433,0.319639206,0.597881973,0.063226305,0,0.02137587,0.091540493,0.120678224,0.135527358,0.092735119,0.024704984,0,0.166422829,0.160568237,0,0,0.046012498,0.042871147,0.209595621,0.207409918,0.153952807,0.044712775,0.117276579,0.0737762,0.032575853,0.0350715,0.239012227,0.221907318,0.037858654,0.035608836,0,0,0.537333787,0.295093477,0.295960039,0.017328367,0.183784232,0.176351458,0.106153749,0.096237801,2.99E-08,0,0,0,0.331656694,-0.140506417,-0.046021227,0.394541711,-0.140527219,-0.054321483
16:36:10:00.448,61,0,0,0.650850475,0,0.299926192,0.32032305,0.597472251,0,0,0,0.546998024,0.307175487,0.320266068,0.597733855,0.062892884,0,0.021460651,0.091069385,0.120144256,0.135028616,0.09208829,0.024430811,0,0.165083066,0.159333259,0,0,0.04587229,0.042749926,0.209355444,0.20728375,0.153416246,0.044499163,0.116994008,0.073678419,0.032356314,0.034828045,0.23834005,0.221257508,0.037834022,0.035631571,0,0,0.523196757,0.27697134,0.277839929,0.017120883,0.183026359,0.175660521,0.105948828,0.09605024,2.92E-08,0,0,0,0.33103025,-0.141775638,-0.046357568,0.393993706,-0.141796544,-0.054745756
16:36:10:01.450,61,0,0,0.644666076,0,0.308080345,0.325541556,0.597410977,0,0,0,0.540310025,0.315469772,0.325487524,0.597666919,0.062753908,0,0.021616275,0.090855919,0.119891107,0.134638861,0.091605067,0.024051854,0,0.164491043,0.158888504,0,0,0.045884036,0.042771243,0.209753394,0.208006457,0.153299704,0.044477362,0.116718888,0.07351388,0.032231569,0.034688685,0.238182485,0.221170992,0.037730143,0.035594132,0,0,0.517199159,0.268787742,0.269629657,0.016935106,0.182839021,0.175576806,0.10595084,0.096094392,3.54E-08,0,0,0,0.326817989,-0.145396009,-0.04697378,0.390058518,-0.145417154,-0.055629406
16:36:10:02.451,61,0,0,0.644161642,0,0.308461726,0.328025132,0.597430587,0,0,0,0.539960444,0.315842986,0.327969611,0.597680867,0.062585264,0,0.021811998,0.090668857,0.119707987,0.134583071,0.091175132,0.023686986,0,0.164040431,0.158553302,0,0,0.045853186,0.042752236,0.210056067,0.208477974,0.153082669,0.044389416,0.116482027,0.073396049,0.032074589,0.034512371,0.238148093,0.221233308,0.037722644,0.035647094,0,0,0.515088081,0.26804623,0.268826544,0.016766826,0.182845712,0.175649822,0.105923183,0.096110217,3.46E-08,0,0,0,0.326599032,-0.145557299,-0.046996214,0.389744341,-0.145578459,-0.055649396
16:36:10:03.453,61,0,0,0.643003881,0,0.317230344,0.332462996,0.597298145,0,0,0,0.538823366,0.324798733,0.332408845,0.597542763,0.062446896,0,0.021949219,0.090601958,0.119635359,0.134567753,0.090922333,0.023326753,0,0.163580343,0.158190042,0,0,0.045822583,0.042736884,0.210366786,0.208932445,0.152888998,0.044380203,0.116206326,0.073225662,0.031947121,0.034367543,0.238051623,0.22122708,0.03765253,0.035633523,0,0,0.513799846,0.266853213,0.267616838,0.01661839,0.183015972,0.175882071,0.105968647,0.096193709,6.33E-08,0,0,0,0.325726032,-0.149643228,-0.048208628,0.388829231,-0.14966464,-0.057103977
16:36:10:04.454,61,0,0,0.643232524,0,0.316066742,0.334205508,0.596947193,0,0,0,0.538959026,0.323617369,0.334151685,0.597187638,0.062290847,0,0.02199346,0.090557858,0.119576909,0.134477049,0.09061417,0.022999404,0,0.163175359,0.157899007,0,0,0.045831662,0.042763025,0.210626751,0.209267244,0.152679578,0.044398256,0.115869008,0.073020496,0.031838749,0.03424653,0.238119915,0.221340567,0.037578512,0.035615373,0,0,0.511542797,0.263776332,0.264582187,0.016463863,0.1830208,0.175949067,0.106003642,0.096248999,6.84E-08,0,0,0,0.325832754,-0.14910394,-0.048047714,0.388996303,-0.149125382,-0.056918733
16:36:10:05.456,61,0,0,0.641526043,0,0.316224396,0.335198075,0.59691596,0,0,0,0.537251592,0.323754787,0.335144371,0.597150981,0.062196348,0,0.022127261,0.090554953,0.119596057,0.134708196,0.090328358,0.022618823,0,0.162874892,0.15779832,0,0,0.045854293,0.042806346,0.210961491,0.209726721,0.152403817,0.044406045,0.115599386,0.072878346,0.03174229,0.034142435,0.238431528,0.221717268,0.03758521,0.035682403,0,0,0.509518504,0.261209577,0.262010396,0.016314415,0.183015704,0.176044613,0.106086083,0.096359618,6.59E-08,0,0,0,0.324798524,-0.149114892,-0.047904398,0.387961537,-0.149136171,-0.056779485
16:36:10:06.458,61,0,0,0.640587807,0,0.318321526,0.33572939,0.596671581,0,0,0,0.536283612,0.325889111,0.335677028,0.596902669,0.062082022,0,0.022079144,0.090502031,0.119523831,0.13469924,0.090069898,0.022317214,0,0.162495092,0.157629982,0,0,0.045864463,0.042834181,0.211081967,0.209874898,0.152199298,0.044447362,0.115297206,0.072691582,0.031664014,0.034059096,0.238565266,0.221866265,0.037512563,0.035660945,0,0,0.508415163,0.259859651,0.260661095,0.016190672,0.182814062,0.175959364,0.106047034,0.096349739,7.35E-08,0,0,0,0.324169099,-0.150066674,-0.048124321,0.387342721,-0.150088087,-0.057060223
