0:0:0imecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
0:0:0:57.443,61,0.0000000000,0.0000000000,0.6543518901,0.0000000000,0.2938536108,0.3191173077,0.5964605212,0.0000000000,0.0000000000,0.0000000000,0.5505086184,0.3010047972,0.3190606534,0.5967313647,0.0639179125,0.0000000000,0.0212397426,0.0924854353,0.1217016876,0.1357478648,0.0939030200,0.0253287088,0.0000000000,0.1701845378,0.1627514660,0.0000000000,0.0000000000,0.0462450497,0.0430688336,0.2098450661,0.2074320912,0.1547995210,0.0452006608,0.1176083535,0.0738414377,0.0330915600,0.0356343985,0.2400316298,0.2228721082,0.0377617218,0.0354047082,0.0000000000,0.0000000000,0.5423224568,0.2989669442,0.2998234928,0.0177389961,0.1860249788,0.1785268784,0.1066725701,0.0967044830,0.0000000522,0.0000000000,0.0000000000,0.0000000000,0.3332775235,-0.1390340328,-0.0457472913,0.3962555528,-0.1390547603,-0.0539666936
0:0:0:58.445,61,0.0000000000,0.0000000000,0.6531332731,0.0000000000,0.2934462428,0.3191921115,0.5970629454,0.0000000000,0.0000000000,0.0000000000,0.5492665768,0.3005731404,0.3191355765,0.5973315239,0.0635428131,0.0000000000,0.0212958474,0.0919957832,0.1211616546,0.1356890649,0.0933201164,0.0249834508,0.0000000000,0.1676273495,0.1614021659,0.0000000000,0.0000000000,0.0461192578,0.0429638848,0.2096577734,0.2073615789,0.1543737799,0.0449452028,0.1174666733,0.0738288462,0.0328286737,0.0353457369,0.2393872589,0.2222734392,0.0378211811,0.0355224386,0.0000000000,0.0000000000,0.5391555429,0.2965243757,0.2973910272,0.0175399128,0.1846747398,0.1772125959,0.1063889116,0.0964467004,0.0000000370,0.0000000000,0.0000000000,0.0000000000,0.3325347602,-0.1387986243,-0.0455710739,0.3955278099,-0.1388193071,-0.0537807681
0:0:0:59.447,61,0.0000000000,0.0000000000,0.6516483426,0.0000000000,0.2971757948,0.3196958303,0.5976163149,0.0000000000,0.0000000000,0.0000000000,0.5479401350,0.3043614328,0.3196392059,0.5978819728,0.0632263049,0.0000000000,0.0213758703,0.0915404931,0.1206782237,0.1355273575,0.0927351192,0.0247049835,0.0000000000,0.1664228290,0.1605682373,0.0000000000,0.0000000000,0.0460124984,0.0428711474,0.2095956206,0.2074099183,0.1539528072,0.0447127745,0.1172765791,0.0737762004,0.0325758532,0.0350714996,0.2390122265,0.2219073176,0.0378586538,0.0356088355,0.0000000000,0.0000000000,0.5373337865,0.2950934768,0.2959600389,0.0173283666,0.1837842315,0.1763514578,0.1061537489,0.0962378010,0.0000000299,0.0000000000,0.0000000000,0.0000000000,0.3316566944,-0.1405064166,-0.0460212268,0.3945417106,-0.1405272186,-0.0543214828
0:0:1:00.448,61,0.0000000000,0.0000000000,0.6508504748,0.0000000000,0.2999261916,0.3203230500,0.5974722505,0.0000000000,0.0000000000,0.0000000000,0.5469980240,0.3071754873,0.3202660680,0.5977338552,0.0628928840,0.0000000000,0.0214606505,0.0910693854,0.1201442555,0.1350286156,0.0920882896,0.0244308114,0.0000000000,0.1650830656,0.1593332589,0.0000000000,0.0000000000,0.0458722897,0.0427499264,0.2093554437,0.2072837502,0.1534162462,0.0444991626,0.1169940084,0.0736784190,0.0323563144,0.0348280445,0.2383400500,0.2212575078,0.0378340222,0.0356315710,0.0000000000,0.0000000000,0.5231967568,0.2769713402,0.2778399289,0.0171208829,0.1830263585,0.1756605208,0.1059488282,0.0960502401,0.0000000292,0.0000000000,0.0000000000,0.0000000000,0.3310302496,-0.1417756379,-0.0463575684,0.3939937055,-0.1417965442,-0.0547457561
0:0:1:01.450,61,0.0000000000,0.0000000000,0.6446660757,0.0000000000,0.3080803454,0.3255415559,0.5974109769,0.0000000000,0.0000000000,0.0000000000,0.5403100252,0.3154697716,0.3254875243,0.5976669192,0.0627539083,0.0000000000,0.0216162745,0.0908559188,0.1198911071,0.1346388608,0.0916050673,0.0240518544,0.0000000000,0.1644910425,0.1588885039,0.0000000000,0.0000000000,0.0458840355,0.0427712426,0.2097533941,0.2080064565,0.1532997042,0.0444773622,0.1167188883,0.0735138804,0.0322315693,0.0346886851,0.2381824851,0.2211709917,0.0377301425,0.0355941318,0.0000000000,0.0000000000,0.5171991587,0.2687877417,0.2696296573,0.0169351064,0.1828390211,0.1755768061,0.1059508398,0.0960943922,0.0000000354,0.0000000000,0.0000000000,0.0000000000,0.3268179893,-0.1453960091,-0.0469737798,0.3900585175,-0.1454171538,-0.0556294061
0:0:1:02.451,61,0.0000000000,0.0000000000,0.6441616416,0.0000000000,0.3084617257,0.3280251324,0.5974305868,0.0000000000,0.0000000000,0.0000000000,0.5399604440,0.3158429861,0.3279696107,0.5976808667,0.0625852644,0.0000000000,0.0218119975,0.0906688571,0.1197079867,0.1345830709,0.0911751315,0.0236869864,0.0000000000,0.1640404314,0.1585533023,0.0000000000,0.0000000000,0.0458531864,0.0427522361,0.2100560665,0.2084779739,0.1530826688,0.0443894155,0.1164820269,0.0733960494,0.0320745893,0.0345123708,0.2381480932,0.2212333083,0.0377226435,0.0356470942,0.0000000000,0.0000000000,0.5150880814,0.2680462301,0.2688265443,0.0167668257,0.1828457117,0.1756498218,0.1059231833,0.0961102173,0.0000000346,0.0000000000,0.0000000000,0.0000000000,0.3265990317,-0.1455572993,-0.0469962135,0.3897443414,-0.1455784589,-0.0556493960
0:0:1:03.453,61,0.0000000000,0.0000000000,0.6430038810,0.0000000000,0.3172303438,0.3324629962,0.5972981453,0.0000000000,0.0000000000,0.0000000000,0.5388233662,0.3247987330,0.3324088454,0.5975427628,0.0624468960,0.0000000000,0.0219492186,0.0906019583,0.1196353585,0.1345677525,0.0909223333,0.0233267527,0.0000000000,0.1635803431,0.1581900418,0.0000000000,0.0000000000,0.0458225831,0.0427368842,0.2103667855,0.2089324445,0.1528889984,0.0443802029,0.1162063256,0.0732256621,0.0319471210,0.0343675427,0.2380516231,0.2212270796,0.0376525298,0.0356335230,0.0000000000,0.0000000000,0.5137998462,0.2668532133,0.2676168382,0.0166183896,0.1830159724,0.1758820713,0.1059686467,0.0961937085,0.0000000633,0.0000000000,0.0000000000,0.0000000000,0.3257260323,-0.1496432275,-0.0482086278,0.3888292313,-0.1496646404,-0.0571039766
0:0:1:04.454,61,0.0000000000,0.0000000000,0.6432325244,0.0000000000,0.3160667419,0.3342055082,0.5969471931,0.0000000000,0.0000000000,0.0000000000,0.5389590263,0.3236173689,0.3341516852,0.5971876383,0.0622908473,0.0000000000,0.0219934601,0.0905578583,0.1195769086,0.1344770491,0.0906141698,0.0229994040,0.0000000000,0.1631753594,0.1578990072,0.0000000000,0.0000000000,0.0458316617,0.0427630246,0.2106267512,0.2092672437,0.1526795775,0.0443982556,0.1158690080,0.0730204955,0.0318387486,0.0342465304,0.2381199151,0.2213405669,0.0375785120,0.0356153734,0.0000000000,0.0000000000,0.5115427971,0.2637763321,0.2645821869,0.0164638627,0.1830208004,0.1759490669,0.1060036421,0.0962489992,0.0000000684,0.0000000000,0.0000000000,0.0000000000,0.3258327544,-0.1491039395,-0.0480477139,0.3889963031,-0.1491253823,-0.0569187328
0:0:1:05.456,61,0.0000000000,0.0000000000,0.6415260434,0.0000000000,0.3162243962,0.3351980746,0.5969159603,0.0000000000,0.0000000000,0.0000000000,0.5372515917,0.3237547874,0.3351443708,0.5971509814,0.0621963479,0.0000000000,0.0221272614,0.0905549526,0.1195960566,0.1347081959,0.0903283581,0.0226188228,0.0000000000,0.1628748924,0.1577983201,0.0000000000,0.0000000000,0.0458542928,0.0428063460,0.2109614909,0.2097267210,0.1524038166,0.0444060452,0.1155993864,0.0728783458,0.0317422897,0.0341424346,0.2384315282,0.2217172682,0.0375852101,0.0356824026,0.0000000000,0.0000000000,0.5095185041,0.2612095773,0.2620103955,0.0163144153,0.1830157042,0.1760446131,0.1060860828,0.0963596180,0.0000000659,0.0000000000,0.0000000000,0.0000000000,0.3247985244,-0.1491148919,-0.0479043983,0.3879615366,-0.1491361707,-0.0567794852
0:0:1:06.458,61,0.0000000000,0.0000000000,0.6405878067,0.0000000000,0.3183215261,0.3357293904,0.5966715813,0.0000000000,0.0000000000,0.0000000000,0.5362836123,0.3258891106,0.3356770277,0.5969026685,0.0620820224,0.0000000000,0.0220791437,0.0905020311,0.1195238307,0.1346992403,0.0900698975,0.0223172139,0.0000000000,0.1624950916,0.1576299816,0.0000000000,0.0000000000,0.0458644629,0.0428341813,0.2110819668,0.2098748982,0.1521992981,0.0444473624,0.1152972057,0.0726915821,0.0316640139,0.0340590961,0.2385652661,0.2218662649,0.0375125632,0.0356609449,0.0000000000,0.0000000000,0.5084151626,0.2598596513,0.2606610954,0.0161906723,0.1828140616,0.1759593636,0.1060470343,0.0963497385,0.0000000735,0.0000000000,0.0000000000,0.0000000000,0.3241690993,-0.1500666738,-0.0481243208,0.3873427212,-0.1500880867,-0.0570602231
